num_classes,unbalanced_time,unbalanced_var,balanced_time,balanced_var
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
25,0.000000,70.106667,0.000000,59.706661
25,0.000000,70.106667,0.000000,59.706661
25,0.000000,70.106667,0.000000,59.706661
25,0.000000,70.106667,0.000000,59.706661
25,0.000000,70.106667,0.000000,59.706661
50,0.000000,338.178192,0.000000,238.056946
50,0.000000,338.178192,0.000000,238.056946
50,0.000000,338.178192,0.000000,238.056946
50,0.000000,338.178192,0.000000,238.056946
50,0.000000,338.178192,0.000000,238.056946
100,0.000000,952.729858,0.000000,852.050537
100,0.000000,952.729858,0.000000,852.050537
100,0.000000,952.729858,0.000000,852.050537
100,0.000000,952.729858,0.000000,852.050537
100,0.000000,952.729858,0.000000,852.050537
150,0.000000,2813.797119,0.000000,1937.965698
150,0.000000,2813.797119,0.000000,1937.965698
150,0.000000,2814.230713,0.000000,1937.965698
150,0.000000,2813.797119,0.000000,1937.965698
150,0.000000,2813.797119,0.000000,1937.965698
200,0.000000,5884.833008,0.000000,3176.710938
200,0.000000,5715.177734,0.000000,3279.969482
200,0.000000,5781.901855,0.000000,3143.624512
200,0.000000,5884.833008,0.000000,3176.710938
200,0.000000,5715.177734,0.000000,3279.969482
300,0.013000,9861.941406,0.000000,9048.108398
300,0.000000,9825.240234,0.000000,9390.822266
300,0.000000,9618.096680,0.000000,9252.588867
300,0.001000,9864.604492,0.000000,9129.912109
300,0.000000,9822.577148,0.000000,9309.016602
500,0.000000,32837.824219,0.001000,22779.287109
500,0.000000,32681.576172,0.000000,22743.628906
500,0.001000,32931.898438,0.000000,22972.943359
500,0.001000,32878.656250,0.000000,22710.224609
500,0.001000,32640.746094,0.000000,22812.695313
750,0.001000,64339.871094,0.001000,58242.718750
750,0.000000,65237.109375,0.001000,57770.160156
750,0.000000,65182.371094,0.001000,58530.550781
750,0.000000,64565.957031,0.001000,58237.707031
750,0.001000,64960.226563,0.001000,57732.242188
1000,0.004000,92453.070313,0.001000,87113.937500
1000,0.001000,93346.335938,0.002000,86050.546875
1000,0.001000,94436.226563,0.001000,86193.117188
1000,0.001000,92142.945313,0.001000,87208.257813
1000,0.001000,93728.328125,0.002000,85956.226563
1500,0.001000,272177.375000,0.003000,242125.125000
1500,0.001000,273600.781250,0.003000,242632.312500
1500,0.000000,274501.750000,0.004000,240303.625000
1500,0.002000,271551.312500,0.002000,243779.484375
1500,0.002000,274226.843750,0.003000,240977.953125
2000,0.003000,429858.093750,0.004000,388448.812500
2000,0.004000,428743.906250,0.004000,392342.281250
2000,0.003000,428570.625000,0.004000,389586.781250
2000,0.002000,429928.625000,0.004000,389536.750000
2000,0.005000,428673.375000,0.004000,391254.343750
2500,0.002000,717438.937500,0.008000,639890.187500
2500,0.005000,719949.562500,0.007000,636939.750000
2500,0.005000,716775.187500,0.006000,636523.000000
2500,0.005000,717077.187500,0.007000,636720.000000
2500,0.003000,719835.687500,0.008000,640445.062500
5000,0.017000,2416713.250000,0.025000,2167989.250000
5000,0.017000,2406716.000000,0.029000,2167814.000000
5000,0.017000,2416208.000000,0.025000,2163455.250000
5000,0.016000,2416522.250000,0.030000,2163352.250000
5000,0.016000,2407739.250000,0.025000,2170320.000000
7500,0.038000,5638040.500000,0.058000,4753724.500000
7500,0.033000,5639959.500000,0.059000,4771124.000000
7500,0.037000,5625049.000000,0.058000,4754927.500000
