num_classes,unbalanced_time,unbalanced_var,balanced_time,balanced_var
150000,31.329000,42594244.000000,31.702999,56987180.000000
150000,31.122999,42764272.000000,31.033001,56546596.000000
150000,30.841000,46080100.000000,30.759001,59210392.000000
150000,30.818001,42594160.000000,30.723000,56987180.000000
150000,30.924000,42764272.000000,30.790001,56546596.000000
250000,86.986000,119132112.000000,85.773003,97662480.000000
250000,86.016998,136600624.000000,85.621002,95879176.000000
250000,85.867996,128775752.000000,85.706001,102716992.000000
250000,85.844002,118902672.000000,85.617996,125957504.000000
250000,85.954002,119131832.000000,85.525002,97662712.000000
350000,168.550995,46692160.000000,168.020996,46691912.000000
350000,169.018005,46692000.000000,167.651001,46691912.000000
350000,168.320007,46692000.000000,168.016998,46692160.000000
350000,168.470001,46692000.000000,167.932007,46692160.000000
350000,168.268005,46692020.000000,167.718994,46692160.000000
500000,343.924011,167903088.000000,342.717010,144075392.000000
500000,343.614014,167903088.000000,342.697998,144075392.000000
500000,343.609009,167903056.000000,342.441010,144075392.000000
500000,343.833008,167903056.000000,342.751007,144075392.000000
500000,343.493011,167905776.000000,342.709015,144075280.000000
750000,775.755981,45622340.000000,770.752014,100082800.000000
750000,773.273010,47091452.000000,770.551025,93577120.000000
750000,773.684021,48852548.000000,770.286011,81532096.000000
750000,771.862976,45622396.000000,769.835999,100082808.000000
750000,771.494995,47091352.000000,770.245972,93577000.000000
